id,"name",position,user_id,"created_at","updated_at"
6,"manzanas",121,1,NULL,"2012-02-29 14:41:55"
7,"peras",150,1,NULL,"2012-02-29 14:41:55"
8,"rabanos",186,1,NULL,"2012-02-29 14:41:56"
10,"queso ibérico",182,1,NULL,"2012-02-29 14:41:56"
25,"untable roquefort",221,1,NULL,"2012-02-29 14:41:56"
28,"salchichas",196,1,NULL,"2012-02-29 14:41:56"
30,"patatas",146,1,NULL,"2012-02-29 14:41:55"
31,"cebollas",46,1,NULL,"2011-06-05 08:12:45"
34,"tomates",215,1,NULL,"2012-02-29 14:41:56"
41,"helados",89,1,NULL,"2012-02-29 14:41:55"
44,"lechuga",107,1,NULL,"2012-02-29 14:41:55"
45,"mantequilla",120,1,NULL,"2012-02-29 14:41:55"
46,"lenguados",109,1,NULL,"2012-02-29 14:41:55"
47,"pez espada",152,1,NULL,"2012-02-29 14:41:55"
49,"atún",17,1,NULL,"2011-06-05 08:12:45"
50,"pasas",144,1,NULL,"2012-02-29 14:41:55"
51,"maíz",117,1,NULL,"2012-02-29 14:41:55"
52,"kiwi",103,1,NULL,"2012-02-29 14:41:55"
53,"pollo - filetes",171,1,NULL,"2012-02-29 14:41:56"
54,"nueces",136,1,NULL,"2012-02-29 14:41:55"
55,"ajo",4,1,NULL,"2011-06-05 08:12:44"
56,"pollo",169,1,NULL,"2012-02-29 14:41:56"
57,"huevos",93,1,NULL,"2012-02-29 14:41:55"
58,"aceite de oliva",1,1,NULL,"2011-06-05 08:12:44"
59,"lomo - filetes",114,1,NULL,"2012-02-29 14:41:55"
60,"queso",176,1,NULL,"2012-02-29 14:41:56"
61,"jamón lonchas",96,1,NULL,"2012-02-29 14:41:55"
62,"pan rallado",143,1,NULL,"2012-02-29 14:41:55"
63,"mayonesa",122,1,NULL,"2012-02-29 14:41:55"
64,"hamburguesas",87,1,NULL,"2012-02-29 14:41:55"
65,"pan hamburguesa",142,1,NULL,"2012-02-29 14:41:55"
66,"ketchup",102,1,NULL,"2012-02-29 14:41:55"
67,"mostaza",130,1,NULL,"2012-02-29 14:41:55"
68,"refrescos",190,1,NULL,"2012-02-29 14:41:56"
69,"yogur natural",228,1,NULL,"2012-02-29 14:41:56"
70,"limones",113,1,NULL,"2012-02-29 14:41:55"
71,"avellanas",19,1,NULL,"2011-06-05 08:12:45"
72,"entrecot ternera",67,1,NULL,"2012-02-29 14:41:55"
73,"vino de málaga",227,1,NULL,"2012-02-29 14:41:56"
74,"almendras laminadas",10,1,NULL,"2011-06-05 08:12:45"
75,"sal gorda",198,1,NULL,"2012-02-29 14:41:56"
76,"dorada",63,1,NULL,"2012-02-29 14:41:55"
77,"merluza congelada",127,1,NULL,"2012-02-29 14:41:55"
78,"gambas",79,1,NULL,"2012-02-29 14:41:55"
81,"pepinos",149,1,NULL,"2012-02-29 14:41:55"
82,"palitos de cangrejo",140,1,NULL,"2012-02-29 14:41:55"
84,"solomillo de cerdo",210,1,NULL,"2012-02-29 14:41:56"
85,"pimentón",153,1,NULL,"2012-02-29 14:41:55"
86,"pasta de color",145,1,NULL,"2012-02-29 14:41:55"
88,"aceitunas verdes",3,1,NULL,"2012-02-29 14:41:55"
89,"arroz",13,1,NULL,"2011-06-05 08:12:45"
90,"pimienta en grano",157,1,NULL,"2012-02-29 14:41:56"
91,"perejil",151,1,NULL,"2012-02-29 14:41:55"
93,"calamares",38,1,NULL,"2011-06-05 08:12:45"
