ingredient_id,recipe_id
6,29
6,44
6,50
6,156
6,202
28,33
30,11
30,13
30,20
30,24
30,63
30,78
30,110
30,122
30,122
30,126
30,157
30,165
31,25
31,26
31,28
31,33
31,34
31,51
31,59
31,62
31,63
31,65
31,67
31,72
31,83
31,84
31,87
31,93
31,99
31,100
31,110
31,113
31,122
31,122
31,123
31,123
31,136
31,137
31,140
31,143
31,154
31,156
31,164
31,171
31,179
31,201
31,205
31,207
31,209
34,10
34,18
34,25
34,26
34,28
34,34
34,35
34,38
34,53
34,54
34,57
34,59
34,62
34,63
34,70
34,72
34,76
34,83
34,84
34,93
34,104
34,113
34,116
34,123
34,123
34,131
34,132
34,151
34,156
34,162
34,164
34,179
34,207
44,44
44,56
44,88
45,66
45,143
45,201
45,209
46,109
47,12
49,10
49,17
49,35
49,65
49,66
49,78
49,124
49,126
49,132
49,201
50,10
50,35
50,38
50,132
50,154
51,10
51,38
51,73
51,99
51,132
52,10
52,35
52,38
52,132
53,34
53,38
53,39
53,44
53,56
53,75
53,88
53,167
53,202
53,207
54,10
54,29
54,35
54,38
54,50
54,76
54,132
54,133
54,133
54,159
54,189
54,189
54,202
55,11
55,26
55,28
55,33
55,34
55,36
55,54
55,62
55,63
55,72
55,84
55,91
55,99
55,104
55,110
55,113
55,118
55,122
55,122
55,135
55,136
55,137
55,159
55,160
55,164
55,179
55,189
55,189
55,190
55,204
55,207
56,11
56,118
56,143
56,160
56,190
57,13
57,17
57,36
57,37
57,59
57,65
57,78
57,85
57,136
57,157
57,170
57,189
57,189
57,201
58,13
58,20
58,26
58,28
58,33
58,34
58,35
58,53
58,54
58,57
58,59
58,70
58,72
58,76
58,78
58,143
58,151
58,154
58,156
58,157
58,159
58,160
58,162
58,164
58,179
58,185
58,189
58,189
58,190
58,204
59,18
59,37
59,140
59,170
60,17
60,18
60,29
60,79
60,102
60,156
60,170
60,189
60,189
61,59
61,67
61,70
61,87
61,100
61,125
61,168
61,168
61,170
61,185
62,37
62,84
62,136
62,170
63,18
63,29
63,38
63,44
63,50
63,88
65,18
66,18
67,18
67,102
69,56
69,88
70,26
70,28
70,50
70,56
70,72
70,88
70,102
70,125
70,135
70,160
70,164
70,167
70,202
71,35
71,185
72,20
72,24
73,20
74,20
75,21
75,93
75,157
76,21
76,72
77,22
77,165
78,25
78,51
78,77
78,136
81,25
81,57
81,126
81,131
82,25
84,26
84,67
84,79
85,137
85,165
86,132
88,35
88,38
88,157
89,28
89,29
89,34
89,36
89,159
89,207
89,209
90,28
90,33
90,113
91,28
91,57
91,72
91,100
91,110
91,125
91,135
91,136
91,137
91,143
91,151
91,154
91,156
91,164
91,190
93,28
93,205
94,28
94,104
95,28
95,34
95,40
96,28
96,104
96,113
97,29
97,34
97,50
97,57
97,76
97,151
97,154
97,164
97,179
97,185
97,189
97,189
98,29
98,37
98,79
99,29
99,44
100,41
100,50
100,66
100,100
100,116
100,136
100,154
100,164
100,171
100,179
100,189
100,189
100,202
100,204
101,33
101,136
101,143
101,155
101,171
101,190
101,207
101,209
102,33
102,67
102,167
103,33
103,110
103,118
103,204
104,34
105,35
106,36
106,65
106,68
106,77
106,124
106,198
107,36
108,38
108,41
108,88
108,137
108,155
108,162
109,39
109,53
109,160
110,39
110,53
111,41
112,41
112,76
112,91
112,155
113,43
116,61
116,62
116,63
116,136
116,171
116,198
118,63
118,91
118,110
120,75
120,140
121,50
121,88
122,51
122,66
122,124
123,51
123,93
123,123
123,123
123,154
123,189
123,189
124,51
124,201
126,157
127,53
127,56
127,73
128,54
128,111
128,133
128,133
129,54
129,77
129,83
129,157
129,179
130,54
131,202
132,57
132,83
132,131
133,56
133,76
133,101
133,111
133,133
133,133
133,189
133,189
135,57
135,84
135,131
137,65
137,76
137,164
137,167
137,185
139,59
139,168
139,168
140,185
141,26
142,28
144,65
145,68
145,87
146,69
147,69
148,70
148,113
148,116
148,137
149,70
149,87
149,99
